step,total_vibes,generation,parent,child_index,facet_count,tree_degree,x,y,tree_neighbors
0,1,0,-1,-1,3,7,0.00000,0.00000,1 2 3 4 5 6 7
1,2,1,0,0,3,4,0.57225,0.27558,0 8 9 10
2,3,1,0,1,3,4,0.14133,0.61922,0 11 12 13
3,4,1,0,2,3,4,-0.39601,0.49658,0 14 15 16
4,5,1,0,3,3,4,-0.63515,0.00000,0 17 18 19
5,6,1,0,4,3,4,-0.39601,-0.49658,0 20 21 22
6,7,1,0,5,3,4,0.14133,-0.61922,0 23 24 25
7,8,1,0,6,3,4,0.57225,-0.27558,0 26 27 28
8,9,2,1,0,3,4,0.89504,0.13491,1 29 30 31
9,10,2,1,1,3,4,0.81551,0.39273,1 32 33 34
10,11,2,1,2,3,4,0.66352,0.61566,1 35 36 37
11,12,2,2,0,3,4,0.45257,0.78388,2 38 39 40
12,13,2,2,1,3,4,0.20141,0.88245,2 41 42 43
13,14,2,2,2,3,4,-0.06764,0.90262,2 44 45 46
14,15,2,3,0,3,4,-0.33069,0.84258,3 47 48 49
15,16,2,3,1,3,4,-0.56435,0.70767,3 50 51 52
16,17,2,3,2,3,4,-0.74787,0.50989,3 53 54 55
17,18,2,4,0,3,4,-0.86494,0.26680,4 56 57 58
18,19,2,4,1,3,4,-0.90515,0.00000,4 59 60 61
19,20,2,4,2,3,4,-0.86494,-0.26680,4 62 63 64
20,21,2,5,0,3,4,-0.74787,-0.50989,5 65 66 67
21,22,2,5,1,3,4,-0.56435,-0.70767,5 68 69 70
22,23,2,5,2,3,4,-0.33069,-0.84258,5 71 72 73
23,24,2,6,0,3,4,-0.06764,-0.90262,6 74 75 76
24,25,2,6,1,3,4,0.20141,-0.88245,6 77 78 79
25,26,2,6,2,3,4,0.45257,-0.78388,6 80 81 82
26,27,2,7,0,3,4,0.66352,-0.61566,7 83 84 85
27,28,2,7,1,3,4,0.81551,-0.39273,7 86 87 88
28,29,2,7,2,3,4,0.89504,-0.13491,7 89 90 91
29,30,3,8,0,3,4,0.97681,0.04875,8 92 93 94
30,31,3,8,1,3,4,0.96710,0.14577,8 95 96 97
31,32,3,8,2,3,4,0.94778,0.24134,8 98 99 100
32,33,3,9,0,3,4,0.91904,0.33450,9 101 102 103
33,34,3,9,1,3,4,0.88117,0.42435,9 104 105 106
34,35,3,9,2,3,4,0.83454,0.50998,9 107 108 109
35,36,3,10,0,3,4,0.77962,0.59054,10 110 111 112
36,37,3,10,1,3,4,0.71694,0.66523,10 113 114 115
37,38,3,10,2,3,4,0.64715,0.73331,10 116 117 118
38,39,3,11,0,3,4,0.57092,0.79410,11 119 120 121
39,40,3,11,1,3,4,0.48901,0.84700,11 122 123 124
40,41,3,11,2,3,4,0.40225,0.89148,11 125 126 127
41,42,3,12,0,3,4,0.31149,0.92710,12 128 129 130
42,43,3,12,1,3,4,0.21763,0.95350,12 131 132 133
43,44,3,12,2,3,4,0.12161,0.97044,12 134 135 136
44,45,3,13,0,3,4,0.02438,0.97772,13 137 138 139
45,46,3,13,1,3,4,-0.07309,0.97529,13 140 141 142
46,47,3,13,2,3,4,-0.16983,0.96317,13 143 144 145
47,48,3,14,0,3,4,-0.26489,0.94147,14 146 147 148
48,49,3,14,1,3,4,-0.35731,0.91042,14 149 150 151
49,50,3,14,2,3,4,-0.44619,0.87032,14 152 153 154
50,51,3,15,0,3,4,-0.53062,0.82157,15 155 156 157
51,52,3,15,1,3,4,-0.60979,0.76465,15 158 159 160
52,53,3,15,2,3,4,-0.68289,0.70014,15 161 162 163
